,ID,area_m2,WUA,HHS,species,life_stage,season
1,GR_10,74776,52669.54199,0.704364261,chnk,spw,sum
2,GR_11,47133,30253.74905,0.641880403,chnk,spw,sum
3,GR_12,132639,89400.55699,0.674014106,chnk,spw,sum
4,GR_13,46960,34232.91671,0.728980339,chnk,spw,sum
5,GR_14,56018,33405.81789,0.596340781,chnk,spw,sum
6,GR_15,47965,30440.29283,0.634635522,chnk,spw,sum
7,GR_16,53782,31761.0637,0.590551926,chnk,spw,sum
8,GR_17,123352,86812.35594,0.703777449,chnk,spw,sum
9,GR_18,133760,100862.1129,0.754052877,chnk,spw,sum
10,GR_19,98603,61407.71257,0.622777325,chnk,spw,sum
11,GR_20,85566,48481.61017,0.566599002,chnk,spw,sum
12,GR_21,59439,35364.10983,0.594964751,chnk,spw,sum
13,GR_6,23112,15857.75492,0.686126468,chnk,spw,sum
14,GR_7,221423,155178.1488,0.700822176,chnk,spw,sum
15,GR_8,66094,48238.0056,0.729839404,chnk,spw,sum
16,GR_9,80269,50135.52478,0.624593863,chnk,spw,sum
